listingTitle,listingPage,dateTime
2018 Santa Cruz 5010 CC XX1,https://sfbay.craigslist.org/sby/bik/d/mountain-view-2018-santa-cruz-5010-cc/7102551335.html,2020-04-08 12:21
Vintage classic old school Breezer  mountain bike wtb stem,https://sfbay.craigslist.org/eby/bik/d/union-city-vintage-classic-old-school/7102969546.html,2020-04-08 11:57
Miyata shredder mountain bike,https://sfbay.craigslist.org/eby/bik/d/union-city-miyata-shredder-mountain-bike/7102969238.html,2020-04-08 11:57
Santa Cruz Hightower - Stolen will pay to get it back,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-hightower/7104115580.html,2020-04-08 11:17
2018 Santa Cruz highball s Carbon 29,https://sfbay.craigslist.org/nby/bik/d/sebastopol-2018-santa-cruz-highball/7102985150.html,2020-04-08 10:16
"1988 ""Muddy Fox Courier"" 18-speed Mountain Bike",https://sfbay.craigslist.org/eby/bik/d/richmond-1988-muddy-fox-courier-18/7100270848.html,2020-04-08 09:57
MOVING: Xootr Ultra Cruz Push Scooter,https://sfbay.craigslist.org/pen/bik/d/mountain-view-moving-xootr-ultra-cruz/7105285894.html,2020-04-08 09:49
"Choose your favorite ride! Road, MTB or hybrid",https://sfbay.craigslist.org/sfc/bik/d/san-francisco-choose-your-favorite-ride/7092085109.html,2020-04-08 09:33
Girls “Cruzer”Bicycle. 20 in,https://sfbay.craigslist.org/nby/bik/d/santa-rosa-girls-cruzerbicycle-20-in/7105257847.html,2020-04-08 09:07
TITUS RACER X 26ER MTB SIZE SMALL(FITS 5'-0 TO 5'-7,https://sfbay.craigslist.org/eby/bik/d/danville-titus-racer-26er-mtb-size/7104215985.html,2020-04-08 08:36
Santa Cruz Nomad (gen 3) XL,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-nomad-gen-3-xl/7093852115.html,2020-04-08 07:31
EPX Terra Shark Carbon 18” Mountain Bike,https://sfbay.craigslist.org/sby/bik/d/milpitas-epx-terra-shark-carbon-18/7103802197.html,2020-04-08 07:20
"BUYING Vintage Mountain, Road, Old School BMX Bikes",https://sfbay.craigslist.org/eby/bik/d/san-lorenzo-buying-vintage-mountain/7105191507.html,2020-04-08 07:13
1992 Bridgestone MB-3 Classic Mountain Bike w/ original Manitou Shocks,https://sfbay.craigslist.org/nby/bik/d/forest-knolls-1992-bridgestone-mb-3/7105115270.html,2020-04-08 00:08
2019 Santa Cruz Chameleon Bike - Small Custom,https://sfbay.craigslist.org/eby/bik/d/fremont-2019-santa-cruz-chameleon-bike/7102238130.html,2020-04-07 23:54
Adroit Substrate C3 29er Mountain Bike - XL frame,https://sfbay.craigslist.org/eby/bik/d/fairfield-adroit-substrate-c3-29er/7090435118.html,2020-04-07 23:40
Marin Muirwoods x-small mountain bike,https://sfbay.craigslist.org/eby/bik/d/berkeley-marin-muirwoods-small-mountain/7105111820.html,2020-04-07 23:32
"Santa Cruz Tazmon Frame medium 16""",https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-tazmon-frame/7105109363.html,2020-04-07 23:08
Santa Cruz Hightower LT CC,https://sfbay.craigslist.org/pen/bik/d/mountain-view-santa-cruz-hightower-lt-cc/7099394317.html,2020-04-07 22:52
BMC 29er hardtail mountain bike,https://sfbay.craigslist.org/eby/bik/d/hayward-bmc-29er-hardtail-mountain-bike/7102578367.html,2020-04-07 22:06
MARIN Muirwoods Black 15” Small Mountain MTB ATB Bike Shimano 8 spd,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-marin-muirwoods-black-15/7105090509.html,2020-04-07 21:03
"26"" Roadmaster - Mountain bike style",https://sfbay.craigslist.org/eby/bik/d/walnut-creek-26-roadmaster-mountain/7105083955.html,2020-04-07 20:34
FOLDING ELECTRIC MOUNTAIN BIKE,https://sfbay.craigslist.org/eby/bik/d/brentwood-folding-electric-mountain-bike/7100479239.html,2020-04-07 20:19
2019 Santa Cruz Blur CC Small,https://sfbay.craigslist.org/sby/bik/d/san-jose-2019-santa-cruz-blur-cc-small/7097496064.html,2020-04-07 19:59
Marin Kids Mountain Bike 24” tires 17” frame,https://sfbay.craigslist.org/nby/bik/d/belvedere-tiburon-marin-kids-mountain/7105064824.html,2020-04-07 19:11
2018 Santa Cruz Tallboy CC XX1 Reserve 29,https://sfbay.craigslist.org/eby/bik/d/fairfield-2018-santa-cruz-tallboy-cc/7096617035.html,2020-04-07 18:47
Mountain Bikes,https://sfbay.craigslist.org/pen/bik/d/palo-alto-mountain-bikes/7105040928.html,2020-04-07 17:53
Santa Cruz Nomad large,https://sfbay.craigslist.org/sby/bik/d/san-jose-santa-cruz-nomad-large/7105031402.html,2020-04-07 17:49
2015 Santa Cruz carbon 5010 cc / Medium,https://sfbay.craigslist.org/nby/bik/d/santa-rosa-2015-santa-cruz-carbon-5010/7105026721.html,2020-04-07 17:39
2019 Santa Cruz Stigmata CC with Dura-Ace Di2/XTR drivetrain (56cm),https://sfbay.craigslist.org/pen/bik/d/belmont-2019-santa-cruz-stigmata-cc/7105023539.html,2020-04-07 17:34
Santa Cruz Blur 2019,https://sfbay.craigslist.org/sfc/bik/d/san-francisco-santa-cruz-blur-2019/7104981786.html,2020-04-07 17:16
1987 Steve Potts Vintage Mountain Bike,https://sfbay.craigslist.org/nby/bik/d/san-rafael-1987-steve-potts-vintage/7105000758.html,2020-04-07 16:10
19”  Aluminum 21 speed MTB Tuned up,https://sfbay.craigslist.org/nby/bik/d/san-francisco-19-aluminum-21-speed-mtb/7093360050.html,2020-04-07 15:55
19” (L) Jamis Dakar Full Suspension mountain ready bike,https://sfbay.craigslist.org/nby/bik/d/mill-valley-19-jamis-dakar-full/7100340395.html,2020-04-07 15:55
16” CyclePro 18 spd MTB Tuned up And ready to roll,https://sfbay.craigslist.org/nby/bik/d/mill-valley-16-cyclepro-18-spd-mtb/7092707497.html,2020-04-07 15:55
2019 Santa Cruz Blur CC X01 Trail Reserve,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-blur-cc/7104987387.html,2020-04-07 15:35
2019 Santa Cruz Hightower C S,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-hightower/7104973257.html,2020-04-07 15:05
2019 Santa Cruz Hightower CC X01 Reserve,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-hightower/7104971831.html,2020-04-07 15:02
2019 Santa Cruz Tallboy C S,https://sfbay.craigslist.org/sfc/bid/d/san-francisco-2019-santa-cruz-tallboy-s/7104970532.html,2020-04-07 14:59
Mountain Bike Next PS4,https://sfbay.craigslist.org/sby/bik/d/sunnyvale-mountain-bike-next-ps4/7104939870.html,2020-04-07 14:05
